Term,LoanStatus,BorrowerAPR,ProsperScore,ListingCategory,EmploymentStatus,IsBorrowerHomeowner,IncomeRange,StatedMonthlyIncome,LoanOriginalAmount,MonthlyLoanPayment,Investors
36,Completed,0.34631,5,Other,Full-time,True,"$50,000-74,999",4666.666667,3000,129.0,80
36,Irrecoverable,0.35797,3,Debt Consolidation,Employed,True,"$25,000-49,999",2583.333333,4000,173.71,25
60,Completed,0.24754,6,Home Improvement,Employed,True,"$50,000-74,999",4833.333333,10000,277.61,1
36,Irrecoverable,0.33973,3,Auto & Other Vehicles,Employed,True,"$25,000-49,999",3750.0,3000,127.34,31
36,Completed,0.12198,9,Business,Full-time,False,"$50,000-74,999",4833.333333,5000,161.55,255
36,Completed,0.09191,10,Auto & Other Vehicles,Full-time,False,"$50,000-74,999",4169.333333,2200,68.05,132
60,Completed,0.20705,7,Business,Employed,False,"$75,000-99,999",6333.333333,15000,383.35,149
36,Irrecoverable,0.35797,5,Business,Employed,True,"$25,000-49,999",2500.0,4000,173.71,22
36,Completed,0.23808,8,Home Improvement,Full-time,False,"$25,000-49,999",3493.75,3000,113.87,146
36,Completed,0.09643,8,Business,Full-time,True,"$50,000-74,999",5250.0,9000,283.91,413
36,Completed,0.28851,5,Other,Not employed,True,$0,0.0,10000,397.55,161
36,Completed,0.11296,9,Business,Full-time,True,"$50,000-74,999",5586.5,6500,207.3,209
36,Irrecoverable,0.34731,1,Home Improvement,Employed,True,"$50,000-74,999",4583.333333,5500,235.69,45
36,Irrecoverable,0.27119,6,Debt Consolidation,Self-employed,True,"$25,000-49,999",3333.333333,6000,234.3,243
36,Irrecoverable,0.35797,5,Home Improvement,Not employed,False,$0,0.0,4000,173.71,45
36,Completed,0.2951,5,Other,Employed,False,"$50,000-74,999",4166.666667,3800,153.08,48
36,Completed,0.19108,8,Debt Consolidation,Employed,False,"$25,000-49,999",2083.333333,3000,105.78,58
36,Completed,0.29265,8,Other,Employed,False,"$100,000+",10000.0,3000,0.0,53
36,Irrecoverable,0.35643,2,Business,Employed,False,"$50,000-74,999",5500.0,4000,174.2,13
36,Irrecoverable,0.19236,4,Debt Consolidation,Self-employed,True,"$50,000-74,999",4416.666667,10000,349.55,180
36,Completed,0.21933,9,Debt Consolidation,Full-time,False,"$100,000+",12500.0,5500,203.56,278
36,Completed,0.13799,6,Debt Consolidation,Employed,False,"$25,000-49,999",3000.0,7000,229.14,1
60,Completed,0.14453,7,Debt Consolidation,Employed,True,"$25,000-49,999",3666.666667,8000,178.72,1
36,Completed,0.11766,8,Other,Employed,True,"$50,000-74,999",6000.0,2000,63.59,43
36,Completed,0.28851,6,Home Improvement,Employed,True,"$25,000-49,999",2291.666667,2000,79.51,28
36,Completed,0.35858,5,Debt Consolidation,Employed,True,"$50,000-74,999",4504.166667,7500,327.49,96
12,Completed,0.11893,9,Debt Consolidation,Employed,False,"$100,000+",8333.333333,10000,870.67,21
36,Completed,0.22593,10,Debt Consolidation,Full-time,False,"$50,000-74,999",4333.333333,1500,55.82,59
36,Completed,0.31053,8,Debt Consolidation,Employed,False,"$25,000-49,999",2583.333333,5000,205.47,139
36,Completed,0.26079,7,Other,Full-time,False,"$25,000-49,999",2083.333333,3000,117.37,94
36,Irrecoverable,0.35132,4,Debt Consolidation,Employed,False,"$25,000-49,999",2666.666667,6000,259.63,2
36,Irrecoverable,0.33553,6,Debt Consolidation,Employed,True,"$25,000-49,999",3500.0,2500,105.55,24
36,Completed,0.35797,5,Debt Consolidation,Employed,False,"$25,000-49,999",2750.0,4000,173.71,86
36,Irrecoverable,0.35797,4,Debt Consolidation,Employed,True,"$25,000-49,999",3750.0,4000,173.71,16
36,Completed,0.35643,4,Debt Consolidation,Employed,True,"$50,000-74,999",5000.0,7500,326.62,103
36,Completed,0.37402,5,Debt Consolidation,Full-time,False,"$25,000-49,999",3958.333333,2500,113.02,34
36,Completed,0.35797,1,Other,Employed,True,"$75,000-99,999",6666.666667,4000,173.71,45
36,Completed,0.16056,9,Debt Consolidation,Employed,False,"$25,000-49,999",3750.0,4500,153.58,78
36,Irrecoverable,0.22456,4,Medical/Dental,Employed,False,"$50,000-74,999",6000.0,7000,255.67,123
36,Completed,0.2951,6,Other,Employed,False,"$100,000+",10000.0,10000,402.85,21
36,Completed,0.32333,8,Debt Consolidation,Employed,False,"$50,000-74,999",5000.0,4000,166.3,44
36,Irrecoverable,0.26681,5,Debt Consolidation,Full-time,False,"$1-24,999",2000.0,5025,194.18,102
36,Irrecoverable,0.28574,7,Debt Consolidation,Full-time,False,"$50,000-74,999",4183.333333,2500,101.06,68
36,Irrecoverable,0.30532,6,Debt Consolidation,Self-employed,False,"$25,000-49,999",2500.0,4000,163.28,84
36,Completed,0.38486,5,Auto & Other Vehicles,Employed,True,"$25,000-49,999",2916.666667,1500,67.3,40
36,Completed,0.16056,9,Other,Employed,True,"$50,000-74,999",5250.0,15000,511.94,230
36,Completed,0.31053,8,Debt Consolidation,Employed,True,"$100,000+",8750.0,7500,308.2,205
36,Irrecoverable,0.35797,5,Debt Consolidation,Employed,True,"$50,000-74,999",5475.0,4000,173.71,37
36,Completed,0.35797,3,Other,Not employed,False,$0,0.0,2000,86.85,47
36,Irrecoverable,0.2951,6,Debt Consolidation,Employed,True,"$25,000-49,999",2414.5,2000,80.57,44
36,Irrecoverable,0.09844,9,Debt Consolidation,Full-time,True,"$25,000-49,999",3000.0,5000,160.16,205
12,Completed,0.28918,7,Other,Employed,True,"$100,000+",15000.0,2000,184.31,9
36,Completed,0.37699,2,Business,Self-employed,False,"$50,000-74,999",4166.666667,2500,111.68,56
12,Completed,0.34105,6,Auto & Other Vehicles,Employed,True,"$50,000-74,999",4333.333333,3000,285.12,49
36,Completed,0.32576,3,Debt Consolidation,Full-time,False,"$25,000-49,999",3500.0,4500,188.55,29
36,Completed,0.35797,5,Other,Employed,False,"$25,000-49,999",3750.0,4000,173.71,2
36,Completed,0.16005,8,Other,Full-time,True,"$50,000-74,999",6166.666667,4000,136.42,107
36,Irrecoverable,0.2952,6,Debt Consolidation,Full-time,False,"$25,000-49,999",3163.333333,4000,161.16,91
36,Completed,0.35643,5,Business,Employed,False,"$75,000-99,999",6666.666667,7500,326.62,114
12,Completed,0.31368,8,Business,Employed,False,"$75,000-99,999",6666.666667,4000,377.14,84
36,Completed,0.30532,5,Other,Self-employed,True,"$100,000+",12500.0,7000,285.74,31
36,Irrecoverable,0.22742,5,Debt Consolidation,Employed,True,"$25,000-49,999",3631.166667,3000,110.0,54
36,Completed,0.11296,9,Debt Consolidation,Full-time,True,"$100,000+",16666.666667,4700,149.9,135
60,Completed,0.23718,8,Debt Consolidation,Employed,True,"$25,000-49,999",2916.666667,11000,299.07,52
60,Irrecoverable,0.32393,3,Medical/Dental,Full-time,False,"$50,000-74,999",4166.666667,4000,128.65,58
36,Irrecoverable,0.34915,7,Home Improvement,Full-time,True,"$75,000-99,999",8083.333333,8000,350.66,62
60,Completed,0.35838,3,Debt Consolidation,Employed,True,"$75,000-99,999",7083.333333,4000,136.98,21
12,Completed,0.17969,8,Debt Consolidation,Employed,False,"$100,000+",8333.333333,6950,618.28,12
36,Completed,0.10645,8,Debt Consolidation,Full-time,True,"$100,000+",8750.0,20000,648.16,685
36,Completed,0.1322,8,Debt Consolidation,Full-time,True,"$50,000-74,999",6083.333333,10000,327.86,131
36,Completed,0.38058,5,Debt Consolidation,Employed,False,"$50,000-74,999",4333.333333,7500,336.52,235
36,Irrecoverable,0.35356,3,Household Expenses,Other,False,"$1-24,999",1061.0,4000,172.76,50
36,Completed,0.25013,8,Debt Consolidation,Employed,True,"$100,000+",10000.0,9000,340.19,98
36,Completed,0.13271,9,Debt Consolidation,Employed,True,"$75,000-99,999",6666.666667,10000,328.1,292
36,Irrecoverable,0.28851,5,Other,Employed,False,"$25,000-49,999",2916.666667,15000,596.32,284
36,Completed,0.36438,9,Debt Consolidation,Full-time,False,"$25,000-49,999",2750.0,2500,111.68,30
36,Irrecoverable,0.35643,5,Debt Consolidation,Employed,True,"$100,000+",11429.583333,7500,326.62,80
36,Irrecoverable,0.30951,6,Business,Full-time,True,"$25,000-49,999",3033.333333,7500,307.8,224
36,Irrecoverable,0.34577,6,Debt Consolidation,Employed,False,"$75,000-99,999",6250.0,4000,171.08,2
36,Irrecoverable,0.35643,4,Business,Employed,True,"$25,000-49,999",2666.666667,7500,326.62,42
36,Completed,0.35797,3,Home Improvement,Employed,True,"$50,000-74,999",5416.666667,4000,173.71,62
36,Completed,0.18986,5,Debt Consolidation,Employed,False,"$25,000-49,999",2884.583333,7000,246.41,142
60,Completed,0.22908,4,Debt Consolidation,Employed,True,"$50,000-74,999",5000.0,7000,187.21,7
36,Completed,0.202,8,Debt Consolidation,Employed,False,"$25,000-49,999",3133.333333,13500,487.99,111
60,Completed,0.25718,3,Debt Consolidation,Employed,True,"$75,000-99,999",7500.0,10000,283.0,17
36,Completed,0.17359,6,Medical/Dental,Full-time,True,"$25,000-49,999",3083.333333,2500,86.04,45
60,Irrecoverable,0.27554,7,Debt Consolidation,Employed,False,"$1-24,999",1916.666667,10000,293.4,5
36,Completed,0.22872,6,Other,Employed,True,"$75,000-99,999",6500.0,14584,538.21,234
36,Irrecoverable,0.2974,7,Debt Consolidation,Full-time,True,"$50,000-74,999",5416.666667,5000,205.2,170
12,Completed,0.17493,7,Debt Consolidation,Employed,True,"$100,000+",8500.0,4000,354.96,72
36,Irrecoverable,0.35797,4,Debt Consolidation,Other,False,"$25,000-49,999",3750.0,4000,173.71,5
36,Completed,0.31053,6,Business,Retired,True,"$50,000-74,999",6200.0,5000,205.47,72
36,Irrecoverable,0.24807,5,Other,Full-time,False,"$25,000-49,999",2500.0,1000,37.68,31
36,Completed,0.15355,7,Home Improvement,Full-time,True,"$100,000+",9166.666667,15000,519.98,201
36,Completed,0.24822,8,Other,Full-time,True,"$50,000-74,999",5000.0,5000,192.38,102
36,Completed,0.31053,7,Other,Employed,False,"$25,000-49,999",4125.0,3000,123.28,79
36,Completed,0.2951,7,Debt Consolidation,Employed,True,"$75,000-99,999",6250.0,10000,402.85,13
36,Completed,0.36783,1,Debt Consolidation,Employed,True,"$50,000-74,999",5916.666667,1500,65.91,27
12,Completed,0.18526,4,Medical/Dental,Full-time,True,"$50,000-74,999",5666.666667,2000,178.44,21
36,Completed,0.35643,7,Debt Consolidation,Employed,False,"$25,000-49,999",3500.0,6290,273.9,121
36,Irrecoverable,0.37453,5,Home Improvement,Full-time,False,"$50,000-74,999",4166.666667,3000,135.71,97
36,Completed,0.25886,5,Home Improvement,Full-time,True,"$25,000-49,999",2833.333333,21500,839.0,718
36,Completed,0.29254,4,Debt Consolidation,Employed,False,"$25,000-49,999",2083.333333,4000,160.61,56
36,Completed,0.28974,6,Debt Consolidation,Employed,False,"$50,000-74,999",4416.666667,10000,398.18,4
36,Irrecoverable,0.2951,7,Debt Consolidation,Employed,False,"$25,000-49,999",2529.166667,7500,302.14,117
36,Completed,0.25781,2,Other,Employed,True,"$50,000-74,999",6000.0,3200,122.19,44
60,Completed,0.24856,4,Debt Consolidation,Self-employed,False,"$75,000-99,999",6250.0,10000,278.18,83
36,Completed,0.2832,5,Home Improvement,Full-time,True,"$25,000-49,999",3416.666667,2100,84.61,64
36,Completed,0.35643,5,Debt Consolidation,Employed,True,"$50,000-74,999",4500.0,7500,326.62,79
60,Completed,0.32321,6,Debt Consolidation,Employed,False,"$25,000-49,999",3083.333333,2100,67.45,23
12,Completed,0.24148,7,Auto & Other Vehicles,Employed,False,"$50,000-74,999",6000.0,4000,359.79,95
36,Completed,0.13413,8,Debt Consolidation,Employed,True,"$50,000-74,999",4916.666667,25000,821.91,106
60,Completed,0.17849,8,Debt Consolidation,Employed,True,"$75,000-99,999",7083.333333,13000,312.76,15
36,Completed,0.28851,5,Other,Employed,True,"$50,000-74,999",4541.666667,15000,596.32,243
36,Completed,0.35643,5,Debt Consolidation,Employed,True,"$50,000-74,999",6180.0,7000,304.84,12
36,Completed,0.33097,7,Other,Employed,True,"$75,000-99,999",7916.666667,3500,147.62,20
60,Irrecoverable,0.35097,5,Home Improvement,Employed,True,"$50,000-74,999",5500.0,4000,135.17,81
36,Completed,0.07439,10,Home Improvement,Full-time,True,"$100,000+",8833.333333,2500,77.31,76
36,Completed,0.12528,8,Debt Consolidation,Employed,False,"$100,000+",13333.333333,20500,658.98,335
36,Completed,0.17069,9,Auto & Other Vehicles,Employed,False,"$25,000-49,999",3333.333333,3500,121.16,56
36,Irrecoverable,0.29588,6,Debt Consolidation,Part-time,True,"$25,000-49,999",2500.0,5000,204.8,146
36,Completed,0.33051,6,Debt Consolidation,Employed,False,"$1-24,999",1666.666667,2500,104.89,6
36,Completed,0.34887,1,Business,Self-employed,False,"$25,000-49,999",3500.0,4000,172.56,88
36,Completed,0.21372,8,Other,Employed,True,"$100,000+",11250.0,15000,539.88,229
36,Completed,0.22135,9,Home Improvement,Retired,True,"$50,000-74,999",5000.0,2500,92.78,113
60,Completed,0.10878,10,Debt Consolidation,Employed,True,"$100,000+",10000.0,10000,206.08,179
60,Completed,0.32989,6,Household Expenses,Employed,False,"$25,000-49,999",2083.333333,7000,227.64,68
60,Completed,0.23052,4,Debt Consolidation,Employed,True,"$100,000+",12083.333333,25000,670.58,1
36,Completed,0.25227,7,Auto & Other Vehicles,Full-time,False,"$75,000-99,999",7666.666667,16000,618.94,599
36,Completed,0.30532,7,Other,Not employed,False,$0,0.0,2500,102.05,11
36,Completed,0.07479,10,Debt Consolidation,Part-time,False,"$1-24,999",1666.666667,1000,30.94,18
36,Irrecoverable,0.25013,3,Debt Consolidation,Employed,True,"$75,000-99,999",6500.0,15000,566.98,259
36,Completed,0.15803,8,Business,Employed,True,"$100,000+",9083.333333,15000,0.0,315
36,Completed,0.37453,5,Debt Consolidation,Full-time,True,"$75,000-99,999",6250.0,4000,176.81,71
36,Irrecoverable,0.18725,6,Debt Consolidation,Employed,False,"$25,000-49,999",2715.666667,10000,347.09,1
36,Completed,0.08331,10,Debt Consolidation,Employed,True,"$100,000+",10000.0,14000,438.64,143
36,Completed,0.25998,9,Debt Consolidation,Full-time,False,"$75,000-99,999",6250.0,4500,175.86,145
36,Completed,0.11766,8,Home Improvement,Employed,False,"$25,000-49,999",3500.0,6000,190.77,53
12,Completed,0.20784,2,Debt Consolidation,Employed,True,"$25,000-49,999",2625.0,2000,178.67,28
36,Completed,0.39153,6,Business,Self-employed,True,"$75,000-99,999",7083.333333,1000,45.24,5
36,Completed,0.22135,9,Debt Consolidation,Full-time,True,"$50,000-74,999",4166.666667,4000,148.45,79
36,Completed,0.09744,9,Business,Full-time,True,"$75,000-99,999",6516.666667,6000,191.92,251
36,Completed,0.15833,7,Debt Consolidation,Self-employed,False,"$100,000+",12500.0,3500,117.91,1
36,Completed,0.34731,3,Debt Consolidation,Employed,True,"$25,000-49,999",2250.0,4000,171.41,54
36,Completed,0.12528,9,Business,Employed,True,"$25,000-49,999",2583.333333,10000,321.45,130
60,Completed,0.16289,8,Home Improvement,Employed,True,"$100,000+",12500.0,10170,241.42,145
36,Completed,0.22491,5,Debt Consolidation,Full-time,True,"$75,000-99,999",6250.0,1500,55.75,75
36,Completed,0.37733,5,Home Improvement,Full-time,True,"$50,000-74,999",4916.666667,1500,67.85,19
60,Irrecoverable,0.12992,9,Debt Consolidation,Employed,False,"$25,000-49,999",3791.666667,10000,216.23,137
36,Completed,0.33097,9,Other,Employed,False,"$25,000-49,999",3500.0,2500,105.45,64
36,Irrecoverable,0.15375,8,Debt Consolidation,Employed,True,"$50,000-74,999",4250.0,5000,167.36,97
36,Irrecoverable,0.35643,2,Business,Self-employed,True,"$50,000-74,999",5750.0,3151,137.21,55
36,Irrecoverable,0.2706,3,Other,Employed,True,"$50,000-74,999",5416.666667,15000,582.52,326
60,Completed,0.31375,5,Household Expenses,Employed,True,"$75,000-99,999",8250.0,9500,299.82,18
36,Completed,0.30532,6,Other,Employed,False,"$25,000-49,999",3833.333333,2000,81.64,32
36,Completed,0.11296,9,Home Improvement,Full-time,False,"$25,000-49,999",2583.333333,3000,95.68,59
60,Completed,0.23318,8,Debt Consolidation,Employed,False,"$25,000-49,999",3500.0,7000,188.78,95
36,Completed,0.2837,6,Other,Other,False,"$1-24,999",2000.0,2000,79.01,1
36,Completed,0.23682,10,Other,Full-time,True,"$50,000-74,999",5416.666667,1000,37.11,20
60,Completed,0.13942,9,Debt Consolidation,Self-employed,False,"$50,000-74,999",5000.0,10000,220.88,113
36,Completed,0.27306,8,Business,Employed,True,"$25,000-49,999",3166.666667,15000,596.4,330
36,Completed,0.13271,9,Debt Consolidation,Employed,True,"$100,000+",25000.0,10000,328.1,281
36,Completed,0.07439,10,Debt Consolidation,Part-time,False,"$1-24,999",800.0,1000,30.92,29
36,Completed,0.30532,6,Debt Consolidation,Employed,True,"$50,000-74,999",4750.0,12000,489.84,110
36,Completed,0.21122,6,Home Improvement,Full-time,True,"$50,000-74,999",6000.0,10000,366.05,347
36,Completed,0.09736,8,Debt Consolidation,Employed,False,"$100,000+",8375.0,6000,189.1,118
36,Completed,0.15538,8,Other,Employed,False,"$100,000+",8333.333333,12500,419.37,132
36,Completed,0.31627,1,Other,Employed,True,"$50,000-74,999",6000.0,3000,123.61,17
36,Irrecoverable,0.35132,5,Business,Employed,True,"$100,000+",12000.0,6000,259.63,13
36,Completed,0.19108,8,Other,Employed,False,"$1-24,999",1690.416667,2000,70.52,43
36,Irrecoverable,0.27467,4,Other,Full-time,True,"$25,000-49,999",4130.416667,2200,86.3,2
36,Irrecoverable,0.35797,4,Household Expenses,Self-employed,True,"$1-24,999",14.583333,4000,173.71,1
36,Completed,0.32576,2,Debt Consolidation,Employed,True,"$100,000+",9166.666667,7500,314.25,35
36,Completed,0.08882,10,Debt Consolidation,Employed,False,"$75,000-99,999",7750.0,7900,249.53,92
12,Completed,0.05927,10,Other,Employed,False,"$100,000+",10833.333333,5000,428.01,98
36,Completed,0.17069,8,Home Improvement,Employed,True,"$25,000-49,999",4083.333333,7500,240.77,192
36,Irrecoverable,0.35643,5,Business,Other,False,"$50,000-74,999",5833.333333,5404,235.35,108
36,Completed,0.2951,7,Debt Consolidation,Employed,False,"$25,000-49,999",3833.333333,3000,120.86,33
12,Completed,0.34105,7,Other,Employed,False,"$100,000+",8583.333333,4500,423.4,78
36,Completed,0.12461,9,Debt Consolidation,Full-time,True,"$25,000-49,999",4000.0,10000,324.32,392
36,Completed,0.35797,2,Business,Self-employed,True,"$25,000-49,999",4000.0,4000,173.71,32
36,Completed,0.26681,6,Debt Consolidation,Employed,False,"$100,000+",10333.333333,15000,579.63,9
36,Completed,0.35797,5,Home Improvement,Employed,True,"$100,000+",8333.333333,4000,173.71,10
36,Completed,0.35797,5,Other,Employed,True,"$50,000-74,999",5416.666667,4000,173.71,15
36,Completed,0.35797,4,Household Expenses,Employed,True,"$25,000-49,999",3687.5,4000,173.71,24
12,Completed,0.30461,6,Other,Not employed,False,$0,0.0,2000,187.71,35
36,Completed,0.35356,3,Other,Employed,False,"$25,000-49,999",3583.333333,2000,86.38,35
36,Completed,0.09794,6,Debt Consolidation,Full-time,True,"$75,000-99,999",6666.666667,25000,800.24,782
60,Completed,0.20593,3,Home Improvement,Employed,False,"$25,000-49,999",3916.666667,8500,216.72,1
36,Completed,0.31053,6,Debt Consolidation,Full-time,True,"$75,000-99,999",6875.0,6500,267.11,187
36,Completed,0.15651,8,Debt Consolidation,Full-time,True,"$100,000+",9311.083333,2500,84.84,125
36,Completed,0.38443,5,Other,Not employed,False,$0,0.0,1000,43.67,29
60,Completed,0.21392,8,Debt Consolidation,Employed,True,"$100,000+",10000.0,17500,453.67,8
12,Completed,0.16803,4,Debt Consolidation,Employed,False,"$75,000-99,999",6416.666667,4981,440.46,75
36,Completed,0.35797,4,Other,Employed,False,"$50,000-74,999",4833.333333,2000,86.85,5
36,Completed,0.15894,9,Business,Self-employed,True,"$100,000+",14166.666667,3000,102.15,107
36,Completed,0.06888,10,Auto & Other Vehicles,Employed,False,"$25,000-49,999",3000.0,2500,76.68,44
36,Completed,0.34887,4,Other,Employed,False,"$75,000-99,999",6833.333333,3000,129.42,30
36,Completed,0.07339,10,Business,Full-time,False,"$50,000-74,999",5000.0,1000,30.88,47
36,Completed,0.28339,7,Household Expenses,Employed,True,"$50,000-74,999",4166.666667,9000,355.42,181
36,Completed,0.12511,9,Other,Full-time,True,"$25,000-49,999",3416.666667,5000,162.28,158
36,Irrecoverable,0.26681,3,Household Expenses,Full-time,False,"$1-24,999",2033.333333,2000,77.28,41
60,Irrecoverable,0.29464,6,Debt Consolidation,Employed,True,"$25,000-49,999",3583.333333,11500,350.06,177
36,Completed,0.26282,7,Debt Consolidation,Full-time,False,"$25,000-49,999",2840.083333,3500,131.5,209
36,Irrecoverable,0.30532,6,Debt Consolidation,Employed,True,"$100,000+",11666.666667,10000,408.2,67
36,Completed,0.10375,9,Auto & Other Vehicles,Employed,False,"$50,000-74,999",6233.333333,7500,236.03,117
36,Irrecoverable,0.35797,5,Debt Consolidation,Employed,False,"$50,000-74,999",6072.0,4000,173.71,32
60,Completed,0.28386,3,Debt Consolidation,Employed,False,"$25,000-49,999",3081.666667,8000,238.53,1
36,Completed,0.07439,10,Auto & Other Vehicles,Full-time,False,"$25,000-49,999",2500.0,2500,77.31,104
36,Irrecoverable,0.15732,9,Home Improvement,Full-time,True,"$100,000+",13750.0,4500,152.88,194
12,Completed,0.13696,10,Business,Employed,False,"$75,000-99,999",6250.0,2000,0.0,17
36,Completed,0.202,8,Home Improvement,Employed,False,"$25,000-49,999",3350.0,5000,180.74,82
36,Completed,0.17069,8,Debt Consolidation,Employed,True,"$100,000+",8664.083333,15000,519.25,415
60,Completed,0.27246,6,Debt Consolidation,Employed,False,"$50,000-74,999",4166.666667,15000,437.46,162
36,Completed,0.30532,6,Debt Consolidation,Employed,False,"$1-24,999",1666.666667,2500,102.05,14
36,Completed,0.35797,5,Debt Consolidation,Employed,True,"$50,000-74,999",4333.333333,4000,173.71,1
36,Irrecoverable,0.17069,8,Debt Consolidation,Employed,True,"$50,000-74,999",6160.25,7500,259.62,227
60,Completed,0.26528,2,Debt Consolidation,Employed,True,"$75,000-99,999",6250.0,12000,345.08,139
36,Completed,0.25424,6,Auto & Other Vehicles,Employed,True,"$50,000-74,999",5000.0,7500,286.39,92
36,Completed,0.35643,2,Business,Self-employed,True,"$50,000-74,999",4166.666667,4000,174.2,11
60,Completed,0.23718,8,Business,Employed,True,"$100,000+",8333.333333,2000,54.38,17
36,Completed,0.21372,8,Other,Employed,False,"$25,000-49,999",2500.0,2500,89.98,13
36,Completed,0.21372,8,Other,Employed,True,"$100,000+",10000.0,7500,269.94,18
36,Completed,0.35811,5,Other,Full-time,False,"$25,000-49,999",2083.333333,1600,0.0,81
60,Completed,0.33709,4,Debt Consolidation,Employed,False,"$1-24,999",1233.333333,4000,131.81,16
36,Irrecoverable,0.35797,5,Other,Other,True,"$25,000-49,999",2916.666667,4000,173.71,4
36,Completed,0.17069,8,Debt Consolidation,Full-time,False,"$1-24,999",2000.0,8000,276.93,182
36,Completed,0.33038,8,Debt Consolidation,Full-time,True,"$75,000-99,999",7166.666667,9500,406.68,168
36,Completed,0.16005,8,Auto & Other Vehicles,Part-time,False,"$1-24,999",600.0,2000,66.92,43
36,Completed,0.36665,9,Other,Retired,False,"$25,000-49,999",3833.333333,1500,66.97,44
36,Completed,0.12782,8,Other,Employed,True,"$100,000+",9133.333333,6000,193.57,20
36,Irrecoverable,0.27285,4,Other,Employed,False,"$25,000-49,999",2666.666667,5000,194.75,87
36,Completed,0.28574,7,Other,Full-time,True,"$50,000-74,999",5395.0,4000,161.7,109
12,Completed,0.15077,8,Business,Employed,True,"$100,000+",11215.833333,2854,249.97,40
36,Completed,0.09333,10,Other,Employed,True,"$100,000+",12500.0,15000,476.93,379
36,Completed,0.33097,7,Other,Employed,False,"$25,000-49,999",2333.333333,2000,84.36,39
36,Completed,0.33665,5,Debt Consolidation,Employed,False,"$25,000-49,999",3702.916667,4000,169.13,6
36,Completed,0.10846,7,Other,Full-time,True,"$50,000-74,999",5416.666667,12500,406.28,465
36,Completed,0.09736,9,Debt Consolidation,Employed,True,"$50,000-74,999",4166.666667,6500,204.86,122
36,Completed,0.08591,10,Business,Employed,False,"$50,000-74,999",5816.0,13000,408.87,384
36,Irrecoverable,0.32333,8,Other,Employed,False,"$75,000-99,999",6833.333333,4000,166.3,6
36,Irrecoverable,0.30182,6,Other,Full-time,False,"$1-24,999",1750.0,1000,40.42,49
36,Completed,0.12137,9,Other,Full-time,False,"$50,000-74,999",4166.666667,1200,38.27,45
36,Completed,0.14328,10,Other,Employed,False,"$75,000-99,999",6833.333333,7000,230.87,46
60,Irrecoverable,0.20358,8,Other,Employed,False,"$25,000-49,999",3333.333333,15000,384.58,347
36,Completed,0.24614,4,Debt Consolidation,Employed,True,"$75,000-99,999",7500.0,15000,563.97,1
36,Completed,0.2951,7,Other,Employed,True,"$75,000-99,999",6250.0,3000,120.86,30
36,Irrecoverable,0.33097,7,Business,Full-time,True,"$75,000-99,999",7500.0,7500,316.34,95
